candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_district,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Keshab Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=94,GOLAGHATI (ST),CPI(M),0,10th Pass,3735755,75000,3660755,17,ST,Sipahijala,Tripura West,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=94&id2=100,3735755,61804,3673951,5945%,Party in last election was CPM
Khagendra Jamatia,http://myneta.info/tripura2013/candidate.php?candidate_id=149,KRISHNAPUR (ST),CPI(M),0,10th Pass,604944,250000,354944,29,ST,Khowai,Tripura East,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=149&id2=286,604944,438658,166286,38%,Party in last election was CPM
Khanna Marak,http://myneta.info/tripura2013/candidate.php?candidate_id=195,KARAMCHARA (ST),SP,0,5th Pass,45521,0,45521,48,ST,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Khokan Chandra Pal,http://myneta.info/tripura2013/candidate.php?candidate_id=62,KALYANPUR-PRAMODNAGAR,BJP,0,12th Pass,109000,0,109000,27,GEN,Khowai,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Krishna Chakma,http://myneta.info/tripura2013/candidate.php?candidate_id=220,PECHARTHAL (ST),BJP,0,8th Pass,10000,0,10000,59,ST,North Tripura,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Krishna Kumar Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=264,AMBASSA (ST),IPFT,0,5th Pass,209000,197000,12000,47,ST,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Lalit Kumar Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=189,AMBASSA (ST),CPI(M),0,12th Pass,1866834,323000,1543834,47,ST,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Lalit Mohan Tripura,http://myneta.info/tripura2013/candidate.php?candidate_id=182,RAIMA VALLEY (ST),CPI(M),0,5th Pass,4641254,1337212,3304042,44,ST,Dhalai,Tripura East,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=182&id2=152,4641254,4677793,-36539,-1%,Party in last election was CPM
Lokman Husen,http://myneta.info/tripura2013/candidate.php?candidate_id=260,RADHAKISHORPUR,CPI(ML)(L),0,8th Pass,1760106,0,1760106,31,GEN,South Tripura,Tripura West,true,true,false,Male,NA,NA,NA,NA,NA,NA
Lukesh Sabdakar,http://myneta.info/tripura2013/candidate.php?candidate_id=187,SURMA (SC),IND,0,8th Pass,5800,7000,-1200,46,SC,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Madhab Chandra Saha,http://myneta.info/tripura2013/candidate.php?candidate_id=156,MATARBARI,CPI(M),0,12th Pass,5133003,279488,4853515,32,GEN,Gomati,Tripura West,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=156&id2=300,5133003,4319000,814003,19%,Party in last election was CPM
Madhusudhan Bhattacharjee,http://myneta.info/tripura2013/candidate.php?candidate_id=66,MATARBARI,BJP,0,5th Pass,2610134,0,2610134,32,GEN,Gomati,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Mahibhusan Chakraborty,http://myneta.info/tripura2013/candidate.php?candidate_id=75,AMARPUR,BJP,0,10th Pass,1450,0,1450,42,GEN,Gomati,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Manab Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=128,GOLAGHATI (ST),INPT,0,Others,1278000,0,1278000,17,ST,Sipahijala,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Manaram Reang,http://myneta.info/tripura2013/candidate.php?candidate_id=289,AMPINAGAR (ST),IND,0,8th Pass,63350,0,63350,41,ST,Gomati,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Mangalia Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=227,MOHANPUR,IPFT,0,10th Pass,820962,428568,392394,2,GEN,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Manik Chandra Das,http://myneta.info/tripura2013/candidate.php?candidate_id=26,RAJNAGAR (SC),INC,0,Post Graduate,658869,0,658869,34,SC,South Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Manik Dey,http://myneta.info/tripura2013/candidate.php?candidate_id=120,MAJLISHPUR,CPI(M),0,12th Pass,5420463,0,5420463,10,GEN,West Tripura,Tripura West,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=120&id2=10,5420463,990506,4429957,447%,Party in last election was CPM
Manik Sarkar,http://myneta.info/tripura2013/candidate.php?candidate_id=138,DHANPUR,CPI(M),0,Graduate,2683195,0,2683195,23,GEN,Sipahijala,Tripura West,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=138&id2=268,2683195,811566,1871629,231%,Party in last election was CPM
Manindra Chandra Das,http://myneta.info/tripura2013/candidate.php?candidate_id=146,KALYANPUR-PRAMODNAGAR,CPI(M),0,Graduate,641801,1000000,-358199,27,GEN,Khowai,Tripura East,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=146&id2=281,641801,444909,196892,44%,Party in last election was CPM
Manindra Reang,http://myneta.info/tripura2013/candidate.php?candidate_id=100,SANTIRBAZAR (ST),CPI,0,10th Pass,2856010,845423,2010587,36,ST,South Tripura,Tripura West,false,true,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=100&id2=260,2856010,854075,2001935,234%,Age Difference=3 PAN was missing last time
Maniya Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=64,KRISHNAPUR (ST),BJP,0,12th Pass,55000,0,55000,29,ST,Khowai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Mano Ranjan Acharjee,http://myneta.info/tripura2013/candidate.php?candidate_id=103,AMARPUR,CPI(M),0,Graduate,154698,0,154698,42,GEN,Gomati,Tripura East,false,true,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=103&id2=64,154698,533500,-378802,-71%,Age Difference=7 PAN was missing last time Party in last election was CPM
Manoj Kanti Deb,http://myneta.info/tripura2013/candidate.php?candidate_id=34,KAMALPUR,INC,0,Graduate,2937782,0,2937782,45,GEN,Dhalai,Tripura East,false,true,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=34&id2=184,2937782,488243,2449539,502%,PAN was missing last time
Manoj Kanti Deb Roy,http://myneta.info/tripura2013/candidate.php?candidate_id=53,TOWN BARDOWALI,BJP,0,Graduate Professional,1586473,0,1586473,8,GEN,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Mantu Sarkar,http://myneta.info/tripura2013/candidate.php?candidate_id=58,BOXANAGAR,BJP,0,Literate,422500,0,422500,20,GEN,Sipahijala,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Md. Shah Alam,http://myneta.info/tripura2013/candidate.php?candidate_id=19,DHANPUR,INC,1,Graduate,1632541,0,1632541,23,GEN,Sipahijala,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Md. Taybur Rahman,http://myneta.info/tripura2013/candidate.php?candidate_id=208,KAILASHAHAR,IND,0,Graduate,5028,0,5028,53,GEN,Unakoti,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Mitu Chakma,http://myneta.info/tripura2013/candidate.php?candidate_id=257,KARBOOK (ST),NCP,0,8th Pass,53000,0,53000,43,ST,Gomati,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Moboshar Ali,http://myneta.info/tripura2013/candidate.php?candidate_id=209,KAILASHAHAR,CPI(M),0,Graduate,6001095,0,6001095,53,GEN,Unakoti,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Monoranjan Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=90,MANDAI BAZAR (ST),CPI(M),0,10th Pass,1142036,542848,599188,11,ST,West Tripura,Tripura West,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=90&id2=5,1142036,1124460,17576,2%,Party in last election was CPM
Nagendra Jamatia,http://myneta.info/tripura2013/candidate.php?candidate_id=176,AMPINAGAR (ST),INPT,0,12th Pass,1369333,500000,869333,41,ST,Gomati,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Nakshatra Jamatia,http://myneta.info/tripura2013/candidate.php?candidate_id=183,RAIMA VALLEY (ST),INPT,0,Graduate,293700,260000,33700,44,ST,Dhalai,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Narayan Chandra Chowdhury,http://myneta.info/tripura2013/candidate.php?candidate_id=126,KAMALASAGAR,CPI(M),0,12th Pass,1135910,828219,307691,15,GEN,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Narayan Malakar,http://myneta.info/tripura2013/candidate.php?candidate_id=297,PANISAGAR,Amra Bangalee,0,10th Pass,246276,0,246276,58,GEN,North Tripura,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Naresh Chandra Jamatia,http://myneta.info/tripura2013/candidate.php?candidate_id=150,BAGMA (ST),CPI(M),0,10th Pass,2510576,500000,2010576,30,ST,South Tripura,Tripura West,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=150&id2=293,2510576,400424,2110152,527%,Party in last election was CPM
Nepal Chandra Das,http://myneta.info/tripura2013/candidate.php?candidate_id=283,SURYAMANINAGAR,IND,0,12th Pass,86000,0,86000,18,GEN,Sipahijala,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Nilima Ghosh,http://myneta.info/tripura2013/candidate.php?candidate_id=231,KHAYERPUR,BJP,0,Graduate,120000,0,120000,5,GEN,West Tripura,Tripura West,false,true,false,Female,NA,NA,NA,NA,NA,NA
Nirajoy Tripura,http://myneta.info/tripura2013/candidate.php?candidate_id=196,CHAWMANU (ST),CPI(M),0,8th Pass,88742,392000,-303258,49,ST,Dhalai,Tripura East,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=196&id2=116,88742,5000,83742,1675%,Party in last election was CPM
Niranjan Barman,http://myneta.info/tripura2013/candidate.php?candidate_id=33,AMARPUR,INC,0,Graduate Professional,5593182,0,5593182,42,GEN,Gomati,Tripura East,true,true,false,Male,NA,NA,NA,NA,NA,NA
Niranjan Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=91,TAKARJALA (ST),CPI(M),0,10th Pass,852794,776700,76094,12,ST,West Tripura,Tripura West,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=91&id2=52,852794,478446,374348,78%,Party in last election was CPM
Nirmalendu Deb,http://myneta.info/tripura2013/candidate.php?candidate_id=40,CHANDIPUR,INC,0,Graduate,3944654,250000,3694654,52,GEN,Unakoti,Tripura East,true,true,false,Male,NA,NA,NA,NA,NA,NA
Pabitra Kar,http://myneta.info/tripura2013/candidate.php?candidate_id=89,KHAYERPUR,CPI(M),0,Graduate,5891364,0,5891364,5,GEN,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Padhma Bikash Tripura,http://myneta.info/tripura2013/candidate.php?candidate_id=78,KARAMCHARA (ST),BJP,0,8th Pass,43000,0,43000,48,ST,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Padma Kumar Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=96,RAMCHANDRAGHAT (ST),CPI(M),0,10th Pass,158159,951348,-793189,24,ST,Khowai,Tripura East,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=96&id2=233,158159,911012,-752853,-83%,Party in last election was CPM
Padma Kumar Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=239,MANDAI BAZAR (ST),BJP,0,10th Pass,31000,0,31000,11,ST,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Parikshit Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=70,SANTIRBAZAR (ST),BJP,0,10th Pass,2215000,0,2215000,36,ST,South Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Parimal Barman,http://myneta.info/tripura2013/candidate.php?candidate_id=59,NALCHAR (SC),BJP,0,10th Pass,600,0,600,21,SC,Sipahijala,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Patal Kanya Jamatia,http://myneta.info/tripura2013/candidate.php?candidate_id=177,AMPINAGAR (ST),IPFT,0,Post Graduate,33000,0,33000,41,ST,Gomati,Tripura East,false,false,false,Female,NA,NA,NA,NA,NA,NA
Patal Kanya Jamatia,http://myneta.info/tripura2013/candidate.php?candidate_id=249,TELIAMURA,IPFT,0,Post Graduate,33000,0,33000,28,GEN,Khowai,Tripura East,false,false,false,Female,NA,NA,NA,NA,NA,NA
Pijush Nath,http://myneta.info/tripura2013/candidate.php?candidate_id=87,JUBARAJNAGAR,BJP,0,8th Pass,4385889,25000,4360889,57,GEN,North Tripura,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Pradip Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=263,AMBASSA (ST),BJP,0,Not Given,682000,1700,680300,47,ST,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Prakash Chandra Das,http://myneta.info/tripura2013/candidate.php?candidate_id=2,BAMUTIA (SC),INC,0,Graduate,6118581,872000,5246581,3,SC,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Pranab Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=107,SIMNA (ST),CPI(M),0,Graduate,1077359,542851,534508,1,ST,West Tripura,Tripura West,false,true,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=107&id2=1,1077359,1100586,-23227,-2%,Age Difference=7 PAN was missing last time Party in last election was CPM
Pranajit Singha Roy,http://myneta.info/tripura2013/candidate.php?candidate_id=24,RADHAKISHORPUR,INC,0,Graduate,40324294,297624,40026670,31,GEN,South Tripura,Tripura West,true,true,false,Male,NA,NA,NA,NA,NA,NA
Pranesh Das,http://myneta.info/tripura2013/candidate.php?candidate_id=294,PABIACHARA (SC),Amra Bangalee,0,5th Pass,100,0,100,50,SC,Unakoti,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Pratyush Nag,http://myneta.info/tripura2013/candidate.php?candidate_id=217,DHARMANAGAR,IND,0,10th Pass,360024,0,360024,56,GEN,North Tripura,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Premtosh Nath,http://myneta.info/tripura2013/candidate.php?candidate_id=32,SABROOM,INC,1,10th Pass,2983763,126543,2857220,40,GEN,South Tripura,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Priyamani Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=180,KARBOOK (ST),CPI(M),0,12th Pass,110571,0,110571,43,ST,Gomati,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Promadh Ranjan Das,http://myneta.info/tripura2013/candidate.php?candidate_id=60,KHOWAI,BJP,0,8th Pass,10000,36612,-26612,25,GEN,Khowai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Purnita Chakma,http://myneta.info/tripura2013/candidate.php?candidate_id=47,PECHARTHAL (ST),INC,0,Graduate,1293500,0,1293500,59,ST,North Tripura,Tripura East,false,true,false,Female,NA,NA,NA,NA,NA,NA
Rabindra Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=108,SIMNA (ST),INPT,0,10th Pass,2796400,0,2796400,1,ST,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Rabindra Kr. Das,http://myneta.info/tripura2013/candidate.php?candidate_id=67,KAKRABAN-SHALGARA (SC),BJP,0,5th Pass,2869707,0,2869707,33,SC,Gomati,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Radhika Ranjan Das,http://myneta.info/tripura2013/candidate.php?candidate_id=46,PANISAGAR,INC,0,10th Pass,381606,109793,271813,58,GEN,North Tripura,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Rahul Das,http://myneta.info/tripura2013/candidate.php?candidate_id=228,BARJALA (SC),SP,0,Graduate,48575,0,48575,4,SC,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Raj Kumar Chaudhuri,http://myneta.info/tripura2013/candidate.php?candidate_id=95,SURYAMANINAGAR,CPI(M),0,Post Graduate,3091720,0,3091720,18,GEN,Sipahijala,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Rajendra Reang,http://myneta.info/tripura2013/candidate.php?candidate_id=184,RAIMA VALLEY (ST),IPFT,1,8th Pass,111000,200000,-89000,44,ST,Dhalai,Tripura East,false,false,true,Male,NA,NA,NA,NA,NA,NA
Rajendra Reang,http://myneta.info/tripura2013/candidate.php?candidate_id=106,KANCHANPUR (ST),CPI(M),0,10th Pass,2649097,2096755,552342,60,ST,North Tripura,Tripura East,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=106&id2=203,2649097,717738,1931359,269%,Party in last election was CPM
Rajeshwar Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=124,TAKARJALA (ST),INPT,0,Graduate,1872848,500000,1372848,12,ST,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Rajib Samaddar,http://myneta.info/tripura2013/candidate.php?candidate_id=25,KAKRABAN-SHALGARA (SC),INC,0,10th Pass,9009139,382688,8626451,33,SC,Gomati,Tripura West,true,true,false,Male,NA,NA,NA,NA,NA,NA
Ram Mohan Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=133,CHARILAM (ST),IPFT,0,10th Pass,21790,0,21790,19,ST,Sipahijala,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Ram Narayan Roy,http://myneta.info/tripura2013/candidate.php?candidate_id=243,BISHALGARH,BJP,0,12th Pass,1500,0,1500,16,GEN,Sipahijala,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Ramendra Chandra Debnath,http://myneta.info/tripura2013/candidate.php?candidate_id=218,JUBARAJNAGAR,CPI(M),0,Graduate Professional,2319929,1300000,1019929,57,GEN,North Tripura,Tripura East,false,true,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=218&id2=128,2319929,1519408,800521,53%,PAN was missing last time Party in last election was CPM
Ramendra Narayan Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=131,CHARILAM (ST),CPI(M),0,Graduate Professional,1160716,0,1160716,19,ST,Sipahijala,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Rana Kishore Reang,http://myneta.info/tripura2013/candidate.php?candidate_id=169,SANTIRBAZAR (ST),IPFT,0,12th Pass,2344100,71000,2273100,36,ST,South Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Ranadhir Nath,http://myneta.info/tripura2013/candidate.php?candidate_id=45,JUBARAJNAGAR,INC,0,Post Graduate,608000,0,608000,57,GEN,North Tripura,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Ranajoy Kr. Deb,http://myneta.info/tripura2013/candidate.php?candidate_id=85,BAGBASSA,BJP,0,8th Pass,3706362,301899,3404463,55,GEN,North Tripura,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Ranjan Shinha,http://myneta.info/tripura2013/candidate.php?candidate_id=82,CHANDIPUR,BJP,0,12th Pass,1550659,134000,1416659,52,GEN,Unakoti,Tripura East,true,true,false,Male,NA,NA,NA,NA,NA,NA
Ranjit Kumar Das,http://myneta.info/tripura2013/candidate.php?candidate_id=10,PRATAPGARH (SC),INC,0,Graduate,424236,0,424236,13,SC,West Tripura,Tripura West,true,true,false,Male,NA,NA,NA,NA,NA,NA
Ratan Bhowmik,http://myneta.info/tripura2013/candidate.php?candidate_id=160,KAKRABAN-SHALGARA (SC),CPI(M),0,Post Graduate,3729348,0,3729348,33,SC,Gomati,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Ratan Das,http://myneta.info/tripura2013/candidate.php?candidate_id=116,RAMNAGAR,CPI(M),0,Post Graduate,5186153,0,5186153,7,GEN,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Ratan Lal Nath,http://myneta.info/tripura2013/candidate.php?candidate_id=1,MOHANPUR,INC,6,Graduate Professional,8163595,978482,7185113,2,GEN,West Tripura,Tripura West,true,true,true,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=1&id2=48,8163595,2407049,5756546,239%,NA
Rita Kar (Majumder),http://myneta.info/tripura2013/candidate.php?candidate_id=175,SABROOM,CPI(M),0,Graduate,1463958,1487000,-23042,40,GEN,South Tripura,Tripura East,false,true,false,Female,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=175&id2=249,1463958,960500,503458,52%,PAN was missing last time Party in last election was CPM
Rudra Kanta Sinha,http://myneta.info/tripura2013/candidate.php?candidate_id=207,CHANDIPUR,IND,0,12th Pass,3025,0,3025,52,GEN,Unakoti,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Rupesh Kumar Deb,http://myneta.info/tripura2013/candidate.php?candidate_id=284,KHOWAI,Amra Bangalee,1,10th Pass,736000,0,736000,25,GEN,Khowai,Tripura East,false,false,true,Male,NA,NA,NA,NA,NA,NA
Sabda Kumar Jamatia,http://myneta.info/tripura2013/candidate.php?candidate_id=23,KRISHNAPUR (ST),INC,0,12th Pass,3532331,621250,2911081,29,ST,Khowai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Sahid Choudhuri,http://myneta.info/tripura2013/candidate.php?candidate_id=134,BOXANAGAR,CPI(M),0,12th Pass,2910469,0,2910469,20,GEN,Sipahijala,Tripura West,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=134&id2=263,2910469,4419730,-1509261,-34%,Party in last election was CPM
Saimon Darlong,http://myneta.info/tripura2013/candidate.php?candidate_id=193,KARAMCHARA (ST),IPFT,0,10th Pass,20032,0,20032,48,ST,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Sajal Das,http://myneta.info/tripura2013/candidate.php?candidate_id=204,FATIKROY (SC),IND,1,12th Pass,1600,0,1600,51,SC,Unakoti,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Sakhil Das,http://myneta.info/tripura2013/candidate.php?candidate_id=68,RAJNAGAR (SC),BJP,0,5th Pass,60300,0,60300,34,SC,South Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Samar Das,http://myneta.info/tripura2013/candidate.php?candidate_id=93,BADHARGHAT (SC),RSP,0,Graduate Professional,60403,0,60403,14,SC,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Samir Biswas,http://myneta.info/tripura2013/candidate.php?candidate_id=51,BARJALA (SC),BJP,0,Graduate,10000,0,10000,4,SC,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Samir Deb Sarkar,http://myneta.info/tripura2013/candidate.php?candidate_id=97,KHOWAI,CPI(M),0,Graduate,2658481,510373,2148108,25,GEN,Khowai,Tripura East,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=97&id2=220,2658481,1583829,1074652,68%,Party in last election was CPM
Samir Ranjan Barman,http://myneta.info/tripura2013/candidate.php?candidate_id=13,BISHALGARH,INC,0,Graduate Professional,31714895,0,31714895,16,GEN,Sipahijala,Tripura West,true,true,false,Male,NA,NA,NA,NA,NA,NA
Samiran Malakar,http://myneta.info/tripura2013/candidate.php?candidate_id=200,PABIACHARA (SC),CPI(M),0,10th Pass,713370,0,713370,50,SC,Unakoti,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Sanjoy Chaudhury,http://myneta.info/tripura2013/candidate.php?candidate_id=296,DHARMANAGAR,SUCI(C),0,Graduate,14200,0,14200,56,GEN,North Tripura,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Sankar Prasad Datta,http://myneta.info/tripura2013/candidate.php?candidate_id=114,AGARTALA,CPI(M),0,Post Graduate,1019532,0,1019532,6,GEN,West Tripura,Tripura West,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=114&id2=37,1019532,625834,393698,63%,Age Difference=7  Party in last election was CPM
Satiram Reang,http://myneta.info/tripura2013/candidate.php?candidate_id=256,KARBOOK (ST),IPFT,0,5th Pass,200000,0,200000,43,ST,Gomati,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Satyaban Das,http://myneta.info/tripura2013/candidate.php?candidate_id=38,PABIACHARA (SC),INC,0,12th Pass,27409775,5117896,22291879,50,SC,Unakoti,Tripura East,true,true,false,Male,NA,NA,NA,NA,NA,NA
Shib Chandra Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=142,RAMCHANDRAGHAT (ST),IND,0,Graduate Professional,15790180,0,15790180,24,ST,Khowai,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Shibani Bhaumik,http://myneta.info/tripura2013/candidate.php?candidate_id=273,TOWN BARDOWALI,SUCI(C),0,10th Pass,500,0,500,8,GEN,West Tripura,Tripura West,false,false,false,Female,NA,NA,NA,NA,NA,NA
Shubhendu Sarkar,http://myneta.info/tripura2013/candidate.php?candidate_id=280,KAMALASAGAR,Amra Bangalee,0,Graduate Professional,70030,0,70030,15,GEN,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Shyamal Chakraborty,http://myneta.info/tripura2013/candidate.php?candidate_id=136,SONAMURA,CPI(M),0,12th Pass,4874822,0,4874822,22,GEN,Sipahijala,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Shyamal Roy,http://myneta.info/tripura2013/candidate.php?candidate_id=117,TOWN BARDOWALI,AIFB,0,12th Pass,190000,0,190000,8,GEN,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Subal Bhowmik,http://myneta.info/tripura2013/candidate.php?candidate_id=18,SONAMURA,INC,1,Graduate Professional,4557531,40000,4517531,22,GEN,Sipahijala,Tripura West,true,true,true,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=18&id2=277,4557531,29842950,-25285419,-85%,NA
Subal Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=254,KARBOOK (ST),BJP,0,8th Pass,685000,0,685000,43,ST,Gomati,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Subal Sarkar,http://myneta.info/tripura2013/candidate.php?candidate_id=279,BADHARGHAT (SC),Amra Bangalee,0,10th Pass,3400,0,3400,14,SC,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
