candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,party_eci
AZIZUDDIN SHEIKH,http://myneta.info/2008mp/candidate.php?candidate_id=584,Khargone,BSP,0,Post Graduate,5106351,52581,5053770,185,GEN,KHARGONE,NIMAR VALLEY,,FALSE,FALSE,Male,Bahujan Samaj Party
B.B.SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=3175,Vijayraghogarh,IJP,0,10th Pass,1890000,0,1890000,92,GEN,KATNI,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,Indian Justice Party
BABA ALIAS RAMKUMAR NAGPURE,http://myneta.info/2008mp/candidate.php?candidate_id=1191,Waraseoni,SP,0,Not Given,1333000,20000,1313000,112,GEN,BALAGHAT,CHHATTISGARH PLAINS,,FALSE,FALSE,Male,Samajwadi Party
BABA GANGARAM BAGHEL,http://myneta.info/2008mp/candidate.php?candidate_id=845,Gwalior Rural,BJSH,0,10th Pass,1585000,0,1585000,14,GEN,GWALIOR,GIRD ZONE,,FALSE,FALSE,Male,Bharatiya Jan Shakti
BABA SHFIE SAHA,http://myneta.info/2008mp/candidate.php?candidate_id=3146,Ujjain Uttar,IND,0,Not Given,0,0,0,216,GEN,UJJAIN,MALWA PLATEAU,,FALSE,FALSE,Male,Independent
BABBU SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=1981,Jaisinghnagar,JD(U),0,Not Given,700000,0,700000,84,ST,SHAHDOL,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,Janata Dal (United)
BABELEY MAHESH CHANDER SHASTRI,http://myneta.info/2008mp/candidate.php?candidate_id=1670,Datia,IND,0,12th Pass,1668000,0,1668000,22,GEN,DATIA,BUNDELKHAND ZONE,,TRUE,FALSE,Male,Independent
BABITA SAKET,http://myneta.info/2008mp/candidate.php?candidate_id=1021,Mangawan,BJSH,10,Graduate,1750391,0,1750391,73,SC,REWA,KYMORE PLEATEAU AND SATPURA HILLS,,TRUE,TRUE,Female,Bharatiya Jan Shakti
BABOO LAL DIWAN,http://myneta.info/2008mp/candidate.php?candidate_id=1537,Bina,SP,5,Graduate,3645000,0,3645000,35,SC,SAGAR,VINDHYAN PLEATEAU,,FALSE,TRUE,Male,Samajwadi Party
BABOO RAM NARESH,http://myneta.info/2008mp/candidate.php?candidate_id=1092,Karera,INC,0,8th Pass,930066,0,930066,23,SC,SHIVPURI,GIRD ZONE,,FALSE,FALSE,Male,Indian National Congress
BABOOLAL KOL,http://myneta.info/2008mp/candidate.php?candidate_id=1709,Deotalab,IND,0,12th Pass,95000,0,95000,72,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
BABRU ALIAS BALUSINGH JOGCHAND,http://myneta.info/2008mp/candidate.php?candidate_id=1781,Ghatiya,SP,0,5th Pass,1027500,0,1027500,215,SC,UJJAIN,MALWA PLATEAU,,FALSE,FALSE,Male,Samajwadi Party
BABU HARWANS SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=1426,Barwara,IJP,0,12th Pass,1488000,196000,1292000,91,ST,KATNI,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,Indian Justice Party
BABU LAL,http://myneta.info/2008mp/candidate.php?candidate_id=1992,Jaitpur,IND,0,Not Given,5000,0,5000,85,ST,SHAHDOL,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,Independent
BABU LAL BAGHEL,http://myneta.info/2008mp/candidate.php?candidate_id=2661,Pushprajgarh,IND,0,Not Given,180500,0,180500,88,ST,ANUPPUR,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,Independent
BABU LAL SONDHIYA,http://myneta.info/2008mp/candidate.php?candidate_id=2271,Maihar,IND,0,8th Pass,40000,0,40000,65,GEN,SATNA,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
BABU RAM KEVAT,http://myneta.info/2008mp/candidate.php?candidate_id=2189,Kotma,IND,0,12th Pass,335500,50000,285500,86,GEN,ANUPPUR,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,Independent
BABULAL,http://myneta.info/2008mp/candidate.php?candidate_id=2508,Panna,IND,0,5th Pass,21000,0,21000,60,GEN,PANNA,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
BABULAL BALMIKI,http://myneta.info/2008mp/candidate.php?candidate_id=2798,Sarangpur,IND,0,Not Given,0,0,0,164,SC,RAJGARH,MALWA PLATEAU,,FALSE,FALSE,Male,Independent
BABULAL GAUR,http://myneta.info/2008mp/candidate.php?candidate_id=67,Govindpura,BJP,1,Graduate Professional,8465381,0,8465381,154,GEN,BHOPAL,VINDHYAN PLEATEAU,,TRUE,FALSE,Male,Bharatiya Janata Party
BABULAL KUSHAWAHA,http://myneta.info/2008mp/candidate.php?candidate_id=2752,Rewa,GGP,0,10th Pass,9000,0,9000,74,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Gondvana Gantantra Party
BABULAL KUSHWAH,http://myneta.info/2008mp/candidate.php?candidate_id=1431,Basoda,SP,0,8th Pass,1001000,95000,906000,145,GEN,VIDISHA,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Samajwadi Party
BABULAL MALVIYA,http://myneta.info/2008mp/candidate.php?candidate_id=438,Tarana,INC,0,5th Pass,832656,0,832656,214,SC,UJJAIN,MALWA PLATEAU,,FALSE,FALSE,Male,Indian National Congress
BABULAL PAHELWAN,http://myneta.info/2008mp/candidate.php?candidate_id=2780,Sanchi,LJP,0,5th Pass,115000,0,115000,142,SC,RAISEN,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Lok Janshakti Party
BABULAL PRAJAPATI,http://myneta.info/2008mp/candidate.php?candidate_id=1718,Devsar,GMS,0,5th Pass,250000,0,250000,81,SC,SINGRAULI,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Gondwana Mukti Sena
BABULAL URF JANDEL,http://myneta.info/2008mp/candidate.php?candidate_id=502,Sheopur,BSP,2,8th Pass,7294568,250000,7044568,1,GEN,SHEOPUR,GIRD ZONE,,FALSE,FALSE,Male,Bahujan Samaj Party
BABULAL VERMA,http://myneta.info/2008mp/candidate.php?candidate_id=393,Kalapipal,BJP,0,12th Pass,1820500,287543,1532957,169,GEN,SHAJAPUR,MALWA PLATEAU,,TRUE,FALSE,Male,Bharatiya Janata Party
BABULAL VERMA,http://myneta.info/2008mp/candidate.php?candidate_id=2050,Kalapipal,IND,0,5th Pass,1150000,0,1150000,169,GEN,SHAJAPUR,MALWA PLATEAU,,FALSE,FALSE,Male,Independent
BABULAL VERMA (SONI) JOURNALIST,http://myneta.info/2008mp/candidate.php?candidate_id=1877,Gwalior South,LSWP,0,Graduate,782000,0,782000,17,GEN,GWALIOR,GIRD ZONE,,TRUE,FALSE,Male,Loktantrik Samajwadi Party
BABUSINGH GURJAR,http://myneta.info/2008mp/candidate.php?candidate_id=1849,Gwalior East,SP,0,5th Pass,2103000,317438,1785562,16,GEN,GWALIOR,GIRD ZONE,,FALSE,FALSE,Male,Samajwadi Party
BABUSINGH PARASTE,http://myneta.info/2008mp/candidate.php?candidate_id=1438,Beohari,SP,0,12th Pass,652529,0,652529,83,ST,SHAHDOL,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,Samajwadi Party
BACHHARAJ YADAV,http://myneta.info/2008mp/candidate.php?candidate_id=2670,Raghogarh,SP,0,8th Pass,1499600,165000,1334600,31,GEN,GUNA,GIRD ZONE,,FALSE,FALSE,Male,Samajwadi Party
BACHU SINGH DAMOR,http://myneta.info/2008mp/candidate.php?candidate_id=3103,Thandla,IND,0,8th Pass,80000,0,80000,194,ST,JHABUA,JHABUA HILLS,,FALSE,FALSE,Male,Independent
BADAMILAL  UIKEY,http://myneta.info/2008mp/candidate.php?candidate_id=2883,Seoni-Malwa,IND,0,Graduate,60000,0,60000,136,GEN,HOSHANGABAD,CENTRAL NARMADA VALLEY,,FALSE,FALSE,Male,Independent
BADARI BHAI KHER,http://myneta.info/2008mp/candidate.php?candidate_id=1758,Dr. Ambedkar Nagar-Mhow,IND,0,5th Pass,59200,0,59200,209,GEN,INDORE,MALWA PLATEAU,,FALSE,FALSE,Male,Independent
BADRI BAHI CHIKWA,http://myneta.info/2008mp/candidate.php?candidate_id=1053,Amarpatan,IND,0,10th Pass,64000,5000,59000,66,GEN,SATNA,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
BADRI LAL GODA,http://myneta.info/2008mp/candidate.php?candidate_id=2724,Ratlam Rural,BJSH,0,Literate,2261000,0,2261000,219,ST,RATLAM,MALWA PLATEAU,,FALSE,FALSE,Male,Bharatiya Jan Shakti
BADRI NARAYAN KASHYAP,http://myneta.info/2008mp/candidate.php?candidate_id=2822,Satna,IND,0,Post Graduate,68000,0,68000,63,GEN,SATNA,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
BADRI PATEL,http://myneta.info/2008mp/candidate.php?candidate_id=1043,Chitrakoot,RSMD,0,Post Graduate,620000,0,620000,61,GEN,SATNA,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,RSMD
BADRI PATEL (SANGWA),http://myneta.info/2008mp/candidate.php?candidate_id=619,Harda,IND,0,10th Pass,11101000,940000,10161000,135,GEN,HARDA,CENTRAL NARMADA VALLEY,,FALSE,FALSE,Male,Independent
"BADRI TIWARI ""ADVOCATE""",http://myneta.info/2008mp/candidate.php?candidate_id=1032,Surkhi,SP,0,Post Graduate,108000,15000,93000,37,GEN,SAGAR,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Samajwadi Party
BADRILAL,http://myneta.info/2008mp/candidate.php?candidate_id=2693,Rajgarh,IND,0,Illiterate,1093000,0,1093000,162,GEN,RAJGARH,MALWA PLATEAU,,FALSE,FALSE,Male,Independent
BADRILAL NOONERIA,http://myneta.info/2008mp/candidate.php?candidate_id=1521,Biaora,IND,0,5th Pass,345050,0,345050,161,GEN,RAJGARH,MALWA PLATEAU,,FALSE,FALSE,Male,Independent
BADRILAL RAM JAMARE,http://myneta.info/2008mp/candidate.php?candidate_id=1452,Bhagwanpura,BSP,0,10th Pass,568500,32000,536500,186,ST,KHARGONE,NIMAR VALLEY,,FALSE,FALSE,Male,Bahujan Samaj Party
BADRILAL SOLANKI AHIRWAL,http://myneta.info/2008mp/candidate.php?candidate_id=1080,Agar,IND,0,Literate,3000000,0,3000000,166,SC,SHAJAPUR,MALWA PLATEAU,,FALSE,FALSE,Male,Independent
BADRILAL YADAV,http://myneta.info/2008mp/candidate.php?candidate_id=300,Biaora,BJP,0,12th Pass,4192276,0,4192276,161,GEN,RAJGARH,MALWA PLATEAU,,TRUE,FALSE,Male,Bharatiya Janata Party
BAGEEBAI RAWAT,http://myneta.info/2008mp/candidate.php?candidate_id=699,Alirajpur,IND,0,Illiterate,366000,0,366000,191,ST,ALIRAJPUR,JHABUA HILLS,,FALSE,FALSE,Female,Independent
BAGHEL RAJENDRA SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=120,Hatpipliya,INC,0,Graduate Professional,10745263,260000,10485263,172,GEN,DEWAS,MALWA PLATEAU,,TRUE,FALSE,Male,Indian National Congress
BAHADUR SINGH BHATTI,http://myneta.info/2008mp/candidate.php?candidate_id=1961,Jabalpur Paschim,JD(U),3,Graduate,4180600,1180000,3000600,100,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,,TRUE,FALSE,Male,Janata Dal (United)
BAHADUR SINGH SARYAM,http://myneta.info/2008mp/candidate.php?candidate_id=3044,Sohagpur,IND,0,10th Pass,15000,0,15000,138,GEN,HOSHANGABAD,CENTRAL NARMADA VALLEY,,FALSE,FALSE,Male,Independent
BAHADURSINGH BAGRI,http://myneta.info/2008mp/candidate.php?candidate_id=1132,Ghatiya,BJSH,0,Literate,2456665,59200,2397465,215,SC,UJJAIN,MALWA PLATEAU,,FALSE,FALSE,Male,Bharatiya Jan Shakti
BAHADURSINGH CHOUHAN,http://myneta.info/2008mp/candidate.php?candidate_id=436,Mahidpur,BJP,0,Graduate,9192492,748935,8443557,213,GEN,UJJAIN,MALWA PLATEAU,,TRUE,FALSE,Male,Bharatiya Janata Party
BAHAN RAMSHREE,http://myneta.info/2008mp/candidate.php?candidate_id=1094,Pohari,RSMD,1,Literate,593782,0,593782,24,GEN,SHIVPURI,GIRD ZONE,,FALSE,TRUE,Female,RSMD
BAIR SINGH DAWER,http://myneta.info/2008mp/candidate.php?candidate_id=1332,Bagali,LJP,0,10th Pass,200000,0,200000,174,ST,DEWAS,MALWA PLATEAU,,FALSE,FALSE,Male,Lok Janshakti Party
BAIRAG SINGH TEKAM,http://myneta.info/2008mp/candidate.php?candidate_id=1353,Baihar,RLD,0,Graduate,15000,4000,11000,108,ST,BALAGHAT,CHHATTISGARH PLAINS,,FALSE,FALSE,Male,Rashtriya Lok Dal
BAISHAKHOO MARAVEE,http://myneta.info/2008mp/candidate.php?candidate_id=2310,Mandla,BHSSP,0,Not Given,0,0,0,107,ST,MANDLA,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,BHSSP
BAJARI LAL SARWATE,http://myneta.info/2008mp/candidate.php?candidate_id=1495,Bhojpur,GMS,0,Not Given,70000,0,70000,141,GEN,RAISEN,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Gondwana Mukti Sena
BAL CHAND PARMAR,http://myneta.info/2008mp/candidate.php?candidate_id=1261,Agar,BJSH,0,12th Pass,45000,100000,-55000,166,SC,SHAJAPUR,MALWA PLATEAU,,FALSE,FALSE,Male,Bharatiya Jan Shakti
BAL SINGH TEKAM,http://myneta.info/2008mp/candidate.php?candidate_id=2986,Sihora,IND,0,8th Pass,203000,40000,163000,102,ST,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
BALA JI PATEL,http://myneta.info/2008mp/candidate.php?candidate_id=777,Bijawar,BJSH,1,Graduate,1784739,72300,1712439,52,GEN,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,TRUE,Male,Bharatiya Jan Shakti
BALAK DAS,http://myneta.info/2008mp/candidate.php?candidate_id=556,Silwani,IND,0,Literate,2072000,0,2072000,143,GEN,RAISEN,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Independent
BALARAM BACHCHAN,http://myneta.info/2008mp/candidate.php?candidate_id=21,Pansemal,INC,0,Graduate,19647290,1920494,17726796,189,ST,BARWANI,NIMAR VALLEY,,TRUE,FALSE,Male,Indian National Congress
BALBEER SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=1062,Ichhawar,IND,0,8th Pass,6142000,302086,5839914,158,GEN,SEHORE,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Independent
BALBIR SINGH CHHAWADA,http://myneta.info/2008mp/candidate.php?candidate_id=3117,Tikamgarh,AIFB,4,Others,3997189,12363104,-8365915,43,GEN,TIKAMGARH,BUNDELKHAND ZONE,,TRUE,TRUE,Male,All India Forward Bloc
BALENDU SHUKLA,http://myneta.info/2008mp/candidate.php?candidate_id=623,Gwalior South,BSP,0,Post Graduate,20316999,0,20316999,17,GEN,GWALIOR,GIRD ZONE,,TRUE,FALSE,Male,Bahujan Samaj Party
BALI SINGH MARAVI,http://myneta.info/2008mp/candidate.php?candidate_id=379,Beohari,BJP,0,5th Pass,1569000,166091,1402909,83,ST,SHAHDOL,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,Bharatiya Janata Party
BALKRISHNA PATIDAR,http://myneta.info/2008mp/candidate.php?candidate_id=239,Khargone,BJP,0,10th Pass,38400000,0,38400000,185,GEN,KHARGONE,NIMAR VALLEY,,FALSE,FALSE,Male,Bharatiya Janata Party
BALKRISHNA VERMA,http://myneta.info/2008mp/candidate.php?candidate_id=2921,Shajapur,IND,0,12th Pass,505000,0,505000,167,GEN,SHAJAPUR,MALWA PLATEAU,,FALSE,FALSE,Male,Independent
BALMUKUND SINGH GOUTAM,http://myneta.info/2008mp/candidate.php?candidate_id=136,Dhar,INC,2,10th Pass,70042505,1195179,68847326,201,GEN,DHAR,MALWA PLATEAU,,TRUE,FALSE,Male,Indian National Congress
"BALVEER CHOUDHARI ""PATRAKAR""",http://myneta.info/2008mp/candidate.php?candidate_id=1520,Biaora,IND,0,Graduate,66000,10000,56000,161,GEN,RAJGARH,MALWA PLATEAU,,FALSE,FALSE,Male,Independent
BALVEER SINGH LOHAT,http://myneta.info/2008mp/candidate.php?candidate_id=1917,Ichhawar,IND,0,Literate,27000,0,27000,158,GEN,SEHORE,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Independent
BALVEER SINGH YADAV,http://myneta.info/2008mp/candidate.php?candidate_id=1602,Chhindwara,SP,0,12th Pass,15500,87500,-72000,126,GEN,CHHINDWARA,SATPURA PLATEAU,,FALSE,FALSE,Male,Samajwadi Party
BANO BI,http://myneta.info/2008mp/candidate.php?candidate_id=2311,Mandsour,BMSM,0,Literate,115000,0,115000,224,GEN,MANDSAUR,MALWA PLATEAU,,FALSE,FALSE,Male,Bharatiya Minorities Suraksha Mahasangh
BANSHILAL MINA (RAWAT),http://myneta.info/2008mp/candidate.php?candidate_id=972,Manasa,BSP,0,5th Pass,2193500,0,2193500,228,GEN,NEEMUCH,MALWA PLATEAU,,FALSE,FALSE,Male,Bahujan Samaj Party
BANSHMANI PRASAD SHUKLA,http://myneta.info/2008mp/candidate.php?candidate_id=2336,Mauganj,AD,0,Graduate,886500,100000,786500,71,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Apna Dal
BANSHMANI PRASAD VERMA,http://myneta.info/2008mp/candidate.php?candidate_id=422,Devsar,INC,1,Graduate Professional,15030467,0,15030467,81,SC,SINGRAULI,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,TRUE,Male,Indian National Congress
BANSI LAL RAIKWAR,http://myneta.info/2008mp/candidate.php?candidate_id=2240,Maharajpur,LJP,0,5th Pass,95000,0,95000,48,GEN,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Lok Janshakti Party
BAPULAL MALVIYA,http://myneta.info/2008mp/candidate.php?candidate_id=1059,Ashta,BSP,0,8th Pass,227000,25000,202000,157,SC,SEHORE,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Bahujan Samaj Party
BAPUSINGH,http://myneta.info/2008mp/candidate.php?candidate_id=1774,Gandhwani,IND,0,Graduate,570000,0,570000,197,ST,DHAR,MALWA PLATEAU,,FALSE,FALSE,Male,Independent
BARASKER TUKARAM,http://myneta.info/2008mp/candidate.php?candidate_id=1206,Bhainsdehi,BSP,0,Graduate,483000,0,483000,133,ST,BETUL,SATPURA PLATEAU,,FALSE,FALSE,Male,Bahujan Samaj Party
BARATILAL MASRAM,http://myneta.info/2008mp/candidate.php?candidate_id=2305,Mandla,IND,0,10th Pass,310000,0,310000,107,ST,MANDLA,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,Independent
BARE LAL,http://myneta.info/2008mp/candidate.php?candidate_id=2904,Sewda,IND,0,Not Given,152000,0,152000,20,GEN,DATIA,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Independent
BARE LAL KHATEEK,http://myneta.info/2008mp/candidate.php?candidate_id=1573,Chandla,IND,0,8th Pass,93500,0,93500,49,SC,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Independent
BARELAL JAMNALAL KHATEEK,http://myneta.info/2008mp/candidate.php?candidate_id=1446,Berasia,IND,0,10th Pass,115500,0,115500,149,SC,BHOPAL,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Independent
BARELAL UIKEY,http://myneta.info/2008mp/candidate.php?candidate_id=2523,Paraswada,SP,0,5th Pass,50000,0,50000,110,GEN,BALAGHAT,CHHATTISGARH PLAINS,,FALSE,FALSE,Male,Samajwadi Party
BASANT KUMAR,http://myneta.info/2008mp/candidate.php?candidate_id=2307,Mandla,IND,0,12th Pass,390000,0,390000,107,ST,MANDLA,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,Independent
BASANT TEKAM,http://myneta.info/2008mp/candidate.php?candidate_id=1204,Ghoradongri,SWJP,3,5th Pass,1500,0,1500,132,ST,BETUL,SATPURA PLATEAU,,FALSE,TRUE,Male,SWJP
BASANTI,http://myneta.info/2008mp/candidate.php?candidate_id=418,Chitrangi,INC,0,12th Pass,1535000,0,1535000,79,ST,SINGRAULI,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Female,Indian National Congress
BASANTI DEVI,http://myneta.info/2008mp/candidate.php?candidate_id=2415,Nagod,GGP,0,5th Pass,135000,0,135000,64,GEN,SATNA,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Female,Gondvana Gantantra Party
BASIM MUSTUFA KHAN,http://myneta.info/2008mp/candidate.php?candidate_id=1885,Harda,IND,0,10th Pass,76700,9000,67700,135,GEN,HARDA,CENTRAL NARMADA VALLEY,,FALSE,FALSE,Male,Independent
BASOR PANNALAL,http://myneta.info/2008mp/candidate.php?candidate_id=2449,Niwari,IND,0,12th Pass,295000,0,295000,46,GEN,TIKAMGARH,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Independent
BECHANRAM,http://myneta.info/2008mp/candidate.php?candidate_id=734,Amla,NCP,0,12th Pass,2380000,0,2380000,130,SC,BETUL,SATPURA PLATEAU,,FALSE,FALSE,Male,Nationalist Congress Party
BEER SINGH (PAPA GEE),http://myneta.info/2008mp/candidate.php?candidate_id=557,Pawai,BSP,2,12th Pass,1958373,0,1958373,58,GEN,PANNA,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,TRUE,Male,Bahujan Samaj Party
BEER SINGH RAJPUT,http://myneta.info/2008mp/candidate.php?candidate_id=770,Maharajpur,INC,0,Graduate,6161596,0,6161596,48,GEN,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Indian National Congress
BENI KUNDAN PARTE,http://myneta.info/2008mp/candidate.php?candidate_id=378,Lakhnadon,INC,0,5th Pass,1699720,352710,1347010,117,ST,SEONI,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Indian National Congress
BENIRAM KUSHRAM,http://myneta.info/2008mp/candidate.php?candidate_id=1523,Bichhiya,BSP,0,Others,291000,50000,241000,105,ST,MANDLA,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,Bahujan Samaj Party
BERENDRA SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=2365,Morena,IND,0,10th Pass,355000,0,355000,6,GEN,MORENA,GIRD ZONE,,FALSE,FALSE,Male,Independent
BHADAIE,http://myneta.info/2008mp/candidate.php?candidate_id=2624,Pohari,IND,0,5th Pass,192000,0,192000,24,GEN,SHIVPURI,GIRD ZONE,,FALSE,FALSE,Male,Independent
BHADIYA DAWAR,http://myneta.info/2008mp/candidate.php?candidate_id=698,Alirajpur,IND,1,Not Given,1325000,0,1325000,191,ST,ALIRAJPUR,JHABUA HILLS,,FALSE,FALSE,Male,Independent
BHADUR SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=3100,Thandla,IND,0,Not Given,0,0,0,194,ST,JHABUA,JHABUA HILLS,,FALSE,FALSE,Male,Independent
BHAG CHANDRA DAHAYAT,http://myneta.info/2008mp/candidate.php?candidate_id=2678,Raigaon,IND,0,12th Pass,49000,0,49000,62,SC,SATNA,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
BHAGARI LAL JATAV,http://myneta.info/2008mp/candidate.php?candidate_id=2033,Joura,IND,0,10th Pass,265000,0,265000,4,GEN,MORENA,GIRD ZONE,,FALSE,FALSE,Male,Independent
BHAGAT SINGH CHOUHAN,http://myneta.info/2008mp/candidate.php?candidate_id=887,Patan,BSP,0,12th Pass,8080000,32000,8048000,95,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Bahujan Samaj Party
BHAGAT SINGH CHOUHAN (GURJAR),http://myneta.info/2008mp/candidate.php?candidate_id=3072,Suwasra,SP,1,Graduate Professional,541500,0,541500,226,GEN,MANDSAUR,MALWA PLATEAU,,FALSE,TRUE,Male,Samajwadi Party
BHAGAT SINGH NETAM,http://myneta.info/2008mp/candidate.php?candidate_id=25,Baihar,BJP,1,12th Pass,7299133,1900000,5399133,108,ST,BALAGHAT,CHHATTISGARH PLAINS,,TRUE,TRUE,Male,Bharatiya Janata Party
BHAGAWAT PRASAD TRIPATHI,http://myneta.info/2008mp/candidate.php?candidate_id=1610,Chitrakoot,IND,0,8th Pass,907227,0,907227,61,GEN,SATNA,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
BHAGIRATH,http://myneta.info/2008mp/candidate.php?candidate_id=1534,Bijawar,IND,0,5th Pass,672000,0,672000,52,GEN,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Independent
BHAGIRATH PATIDAR,http://myneta.info/2008mp/candidate.php?candidate_id=763,Huzur,IND,0,12th Pass,50284133,0,50284133,155,GEN,BHOPAL,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Independent
BHAGVANSINGH  AHIRWAR,http://myneta.info/2008mp/candidate.php?candidate_id=1819,Guna,SP,0,8th Pass,565000,400000,165000,29,SC,GUNA,GIRD ZONE,,FALSE,FALSE,Male,Samajwadi Party
BHAGVAT SINGH PATEL,http://myneta.info/2008mp/candidate.php?candidate_id=290,Udaipura,BJP,1,5th Pass,10948342,0,10948342,140,GEN,RAISEN,VINDHYAN PLEATEAU,,FALSE,TRUE,Male,Bharatiya Janata Party
BHAGVENDRA PRATAP,http://myneta.info/2008mp/candidate.php?candidate_id=2171,Kotma,JD(U),0,Graduate,16418000,0,16418000,86,GEN,ANUPPUR,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,Janata Dal (United)
BHAGWAN DAS,http://myneta.info/2008mp/candidate.php?candidate_id=3005,Singrauli,IND,0,8th Pass,910000,100800,809200,80,GEN,SINGRAULI,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
BHAGWAN DAS,http://myneta.info/2008mp/candidate.php?candidate_id=1289,Ambah,IND,0,Graduate,675000,0,675000,8,SC,MORENA,GIRD ZONE,,FALSE,FALSE,Male,Independent
BHAGWAN PRASAD,http://myneta.info/2008mp/candidate.php?candidate_id=3008,Singrauli,IND,0,Literate,9524797,0,9524797,80,GEN,SINGRAULI,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
BHAGWAN SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=1881,Harda,BSP,0,10th Pass,3067000,1227132,1839868,135,GEN,HARDA,CENTRAL NARMADA VALLEY,,TRUE,FALSE,Male,Bahujan Samaj Party
BHAGWAN SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=2994,Silwani,IND,0,Graduate,510000,0,510000,143,GEN,RAISEN,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Independent
BHAGWAN SINGH MEENA,http://myneta.info/2008mp/candidate.php?candidate_id=1496,Bhojpur,IND,0,Literate,10700,0,10700,141,GEN,RAISEN,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Independent
