candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,match,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Sirai Ong Singpho,http://myneta.info/arunachal2014/candidate.php?candidate_id=18,BORDUMSA,BJP,0,Graduate,1306500,0,1306500,BORDUMSA,49,GEN,NA,NA,false,true,false,Male,,,,,,
Smt Gum Tayeng,http://myneta.info/arunachal2014/candidate.php?candidate_id=25,DAMBUK,INC,0,Graduate Professional,65577232,0,65577232,DAMBUK,42,ST,NA,NA,false,false,false,Male,,,,,,
Sotai Kri,http://myneta.info/arunachal2014/candidate.php?candidate_id=172,CHOWKHAM,BJP,0,8th Pass,15594929,0,15594929,CHOWKHAM,46,ST,NA,NA,false,true,false,Male,,,,,,
Soto Thalai,http://myneta.info/arunachal2014/candidate.php?candidate_id=139,CHOWKHAM,IND,0,8th Pass,4420000,0,4420000,CHOWKHAM,46,ST,NA,NA,false,true,false,Male,,,,,,
T.L.Rajkumar,http://myneta.info/arunachal2014/candidate.php?candidate_id=110,KHONSA EAST,BJP,0,Graduate,66513327,0,66513327,KHONSA EAST,55,ST,NA,NA,false,true,false,Male,,,,,,
Taba Nirmali,http://myneta.info/arunachal2014/candidate.php?candidate_id=10,YACHULI,NCP,0,Post Graduate,67818368,0,67818368,YACHULI,16,ST,NA,NA,false,true,false,Female,,,,,,
Tage Taki,http://myneta.info/arunachal2014/candidate.php?candidate_id=62,ZIRO-YACHULI,BJP,0,Graduate Professional,78803599,800000,78003599,ZIRO-YACHULI,17,ST,NA,NA,false,true,false,Male,,,,,,
Taji Gichik Kiogi,http://myneta.info/arunachal2014/candidate.php?candidate_id=167,TALI,NCP,0,12th Pass,49847004,0,49847004,TALI,20,ST,NA,NA,false,true,false,Male,,,,,,
Takam Pario,http://myneta.info/arunachal2014/candidate.php?candidate_id=166,PALIN,INC,3,10th Pass,1875608255,0,1875608255,PALIN,18,ST,NA,NA,false,true,true,Male,,,,,,
Takam Tatung,http://myneta.info/arunachal2014/candidate.php?candidate_id=60,ITANAGAR,IND,0,Graduate,4757322,0,4757322,ITANAGAR,13,ST,NA,NA,false,true,false,Male,,,,,,
Takar Marde,http://myneta.info/arunachal2014/candidate.php?candidate_id=67,DUMPORIJO,INC,0,12th Pass,16323949,0,16323949,DUMPORIJO,26,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=67&id2=66,16323949,12605375,3718574,29%,Age Difference=-1 PAN was missing last time
Tako Dabi,http://myneta.info/arunachal2014/candidate.php?candidate_id=87,NARI KOYU,INC,0,Graduate Professional,98733988,0,98733988,NARI KOYU,36,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=87&id2=94,98733988,26776322,71957666,269%,PAN was missing last time
Talem Taboh,http://myneta.info/arunachal2014/candidate.php?candidate_id=80,RUMGONG,INC,0,Graduate Professional,82553000,0,82553000,RUMGONG,32,ST,NA,NA,false,false,false,Male,,,,,,
Tamar Murtem,http://myneta.info/arunachal2014/candidate.php?candidate_id=65,RAGA,BJP,0,Graduate,23950000,0,23950000,RAGA,25,ST,NA,NA,false,true,false,Male,,,,,,
Tame Phassang,http://myneta.info/arunachal2014/candidate.php?candidate_id=57,ITANAGAR,BJP,0,Graduate,72197495,0,72197495,ITANAGAR,13,ST,NA,NA,false,true,false,Male,,,,,,
Tamiyo Taga,http://myneta.info/arunachal2014/candidate.php?candidate_id=79,RUMGONG,BJP,0,Graduate,10228329,0,10228329,RUMGONG,32,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=79&id2=81,10228329,47570000,-37341671,-78%,PAN was missing last time
Tanga Byaling,http://myneta.info/arunachal2014/candidate.php?candidate_id=38,NACHO,INC,0,10th Pass,28580000,0,28580000,NACHO,22,ST,NA,NA,false,false,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=38&id2=53,28580000,6100000,22480000,369%,Age Difference=8
Tangor Tapak,http://myneta.info/arunachal2014/candidate.php?candidate_id=154,PASIGHAT WEST,BJP,0,Graduate Professional,44470379,2354321,42116058,PASIGHAT WEST,37,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=154&id2=96,44470379,21517813,22952566,107%,PAN was missing last time
Tanpho Wangnaw,http://myneta.info/arunachal2014/candidate.php?candidate_id=147,LONGDING-PUMAO,BJP,0,Graduate,44236000,0,44236000,LONGDING-PUMAO,59,ST,NA,NA,false,false,false,Male,,,,,,
Tapang Taloh,http://myneta.info/arunachal2014/candidate.php?candidate_id=83,PANGING,INC,0,Graduate Professional,54653000,0,54653000,PANGING,35,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=83&id2=92,54653000,26560000,28093000,106%,"PAN was missing last time    unclear_handwriting for movable asset in Arunachal Pradesh 2009 , unclear_handwriting for immovable asset in Arunachal Pradesh 2009 ."
Tape Bagra,http://myneta.info/arunachal2014/candidate.php?candidate_id=100,LEKANG,BJP,0,Post Graduate,44998848,0,44998848,LEKANG,48,ST,NA,NA,false,true,false,Male,,,,,,
Tapen Siga,http://myneta.info/arunachal2014/candidate.php?candidate_id=27,DAPORIJO,BJP,0,Post Graduate,17760172,434017,17326155,DAPORIJO,24,ST,NA,NA,false,true,false,Male,,,,,,
Tapuk Taku,http://myneta.info/arunachal2014/candidate.php?candidate_id=128,SEPPA EAST,INC,2,12th Pass,27952279,568906,27383373,SEPPA EAST,10,ST,NA,NA,false,true,true,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=128&id2=21,27952279,10934812,17017467,156%,PAN was missing last time Party in last election was AITC
Tarh Tada,http://myneta.info/arunachal2014/candidate.php?candidate_id=59,ITANAGAR,NPF,0,8th Pass,9365000,0,9365000,ITANAGAR,13,ST,NA,NA,false,false,false,Male,,,,,,
Tatung Jamoh,http://myneta.info/arunachal2014/candidate.php?candidate_id=42,PASIGHAT WEST,INC,0,Graduate,19670587,799797,18870790,PASIGHAT WEST,37,ST,NA,NA,false,true,false,Male,,,,,,
Tayem Siram,http://myneta.info/arunachal2014/candidate.php?candidate_id=84,PANGING,IND,0,Graduate,3960500,0,3960500,PANGING,35,ST,NA,NA,false,true,false,Male,,,,,,
Techi Kaso,http://myneta.info/arunachal2014/candidate.php?candidate_id=30,ITANAGAR,INC,0,Illiterate,49160000,0,49160000,ITANAGAR,13,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=30&id2=28,49160000,19100702,30059298,157%,PAN is Different Party in last election was NCP
Tenzing Norbu Thongdok,http://myneta.info/arunachal2014/candidate.php?candidate_id=4,KALAKTANG,INC,0,Graduate Professional,54147379,0,54147379,KALAKTANG,5,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=4&id2=10,54147379,43926272,10221107,23%,PAN was missing last time
Tesam Pongte,http://myneta.info/arunachal2014/candidate.php?candidate_id=20,CHANGLANG NORTH,BJP,0,Graduate,19368805,0,19368805,CHANGLANG NORTH,53,ST,NA,NA,false,true,false,Male,,,,,,
Thajam Aboh,http://myneta.info/arunachal2014/candidate.php?candidate_id=113,KHONSA WEST,BJP,0,Graduate,6825000,500000,6325000,KHONSA WEST,56,ST,NA,NA,false,true,false,Male,,,,,,
Thangkai Khusumchai,http://myneta.info/arunachal2014/candidate.php?candidate_id=152,PONGCHAU-WAKKA,NPF,0,Graduate,875000,0,875000,PONGCHAU-WAKKA,60,ST,NA,NA,false,true,false,Male,,,,,,
Thangwang Wangham,http://myneta.info/arunachal2014/candidate.php?candidate_id=118,LONGDING-PUMAO,INC,0,Graduate,21274000,0,21274000,LONGDING-PUMAO,59,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=118&id2=156,21274000,250000,21024000,8410%,PAN was missing last time
Theg Tse Rinpoche,http://myneta.info/arunachal2014/candidate.php?candidate_id=124,LUMLA,IND,0,Not Given,55330056,0,55330056,LUMLA,1,ST,NA,NA,false,true,false,Male,,,,,,
Thinghaap Taiju,http://myneta.info/arunachal2014/candidate.php?candidate_id=14,CHANGLANG NORTH,INC,0,Graduate,47741005,0,47741005,CHANGLANG NORTH,53,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=14&id2=140,47741005,9398448,38342557,408%,"Age Difference=12 PAN was missing last time    unclear_handwriting for movable asset in Arunachal Pradesh 2009 , unclear_handwriting for immovable asset in Arunachal Pradesh 2009 ."
Thomas Borang,http://myneta.info/arunachal2014/candidate.php?candidate_id=94,MARIYANG-GEKU,PPA,0,12th Pass,7150000,0,7150000,MARIYANG-GEKU,40,ST,NA,NA,false,true,false,Male,,,,,,
Tirong Aboh,http://myneta.info/arunachal2014/candidate.php?candidate_id=34,KHONSA WEST,PPA,0,12th Pass,2378211,0,2378211,KHONSA WEST,56,ST,NA,NA,false,true,false,Male,,,,,,
Togo Basar,http://myneta.info/arunachal2014/candidate.php?candidate_id=131,BASAR,PPA,0,Graduate Professional,35575773,0,35575773,BASAR,29,ST,NA,NA,false,false,false,Male,,,,,,
Toi Modi,http://myneta.info/arunachal2014/candidate.php?candidate_id=95,MARIYANG-GEKU,IND,0,Graduate Professional,20071868,0,20071868,MARIYANG-GEKU,40,ST,NA,NA,false,true,false,Male,,,,,,
Toko Sheetal,http://myneta.info/arunachal2014/candidate.php?candidate_id=58,ITANAGAR,PPA,0,12th Pass,385970,0,385970,ITANAGAR,13,ST,NA,NA,false,true,false,Female,,,,,,
Tori Ragyor,http://myneta.info/arunachal2014/candidate.php?candidate_id=120,MECHUKA,INC,0,12th Pass,18731900,0,18731900,MECHUKA,33,ST,NA,NA,false,true,false,Male,,,,,,
Tosham Mossang,http://myneta.info/arunachal2014/candidate.php?candidate_id=104,NAMPONG,NPF,0,Graduate Professional,1645646,0,1645646,NAMPONG,51,ST,NA,NA,false,true,false,Male,,,,,,
Tsering Sonam,http://myneta.info/arunachal2014/candidate.php?candidate_id=32,KALAKTANG,PPA,0,Graduate,7345000,0,7345000,KALAKTANG,5,ST,NA,NA,false,true,false,Male,,,,,,
Tsering Tashi,http://myneta.info/arunachal2014/candidate.php?candidate_id=55,TAWANG,IND,0,Graduate Professional,964340351,0,964340351,TAWANG,2,ST,NA,NA,false,true,false,Male,,,,,,
Tsewang Dhondup,http://myneta.info/arunachal2014/candidate.php?candidate_id=48,TAWANG,INC,0,Graduate,26107000,0,26107000,TAWANG,2,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=48&id2=163,26107000,9640000,16467000,171%,PAN was missing last time
Tumke Bagra,http://myneta.info/arunachal2014/candidate.php?candidate_id=74,ALONG WEST,BJP,0,Graduate,10228329,0,10228329,ALONG WEST,30,ST,NA,NA,false,true,false,Male,,,,,,
Tummar Bagra,http://myneta.info/arunachal2014/candidate.php?candidate_id=16,ALONG EAST,NCP,0,Graduate,43398049,748786,42649263,ALONG EAST,31,ST,NA,NA,false,true,false,Male,,,,,,
Vijay Sonam,http://myneta.info/arunachal2014/candidate.php?candidate_id=164,BAMENG,BJP,0,Post Graduate,11262965,2586656,8676309,BAMENG,8,ST,NA,NA,false,true,false,Male,,,,,,
Wangki Lowang,http://myneta.info/arunachal2014/candidate.php?candidate_id=108,NAMSANG,INC,0,Graduate,19609898,0,19609898,NAMSANG,54,ST,NA,NA,false,true,false,Male,,,,,,
Wanglam Sawin,http://myneta.info/arunachal2014/candidate.php?candidate_id=15,KHONSA EAST,PPA,0,Graduate,2392235,0,2392235,KHONSA EAST,55,ST,NA,NA,false,true,false,Male,,,,,,
Wanglin Lowangdong,http://myneta.info/arunachal2014/candidate.php?candidate_id=115,BORDURIA- BOGAPANI,INC,0,Graduate,56354467,0,56354467,BORDURIA- BOGAPANI,57,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=115&id2=153,56354467,12687000,43667467,344%,
Wanglong Rajkumar,http://myneta.info/arunachal2014/candidate.php?candidate_id=40,NAMSANG,BJP,0,Graduate Professional,7650000,0,7650000,NAMSANG,54,ST,NA,NA,false,true,false,Male,,,,,,
Yai Mara,http://myneta.info/arunachal2014/candidate.php?candidate_id=72,LIKABALI,IND,0,Not Given,28290000,0,28290000,LIKABALI,28,ST,NA,NA,false,false,false,Male,,,,,,
Yomto Jini,http://myneta.info/arunachal2014/candidate.php?candidate_id=77,ALONG EAST,BJP,0,Graduate,950000,0,950000,ALONG EAST,31,ST,NA,NA,false,true,false,Male,,,,,,
Yumsem Matey,http://myneta.info/arunachal2014/candidate.php?candidate_id=112,KHONSA WEST,INC,0,Graduate,9045452,0,9045452,KHONSA WEST,56,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=112&id2=150,9045452,225000,8820452,3920%,PAN was missing last time
Zingnu Namchoom,http://myneta.info/arunachal2014/candidate.php?candidate_id=173,NAMSAI,INC,0,Graduate,111740109,0,111740109,NAMSAI,47,ST,NA,NA,false,true,false,Male,,,,,,
